delta,omega,nbose,pe
-0.69,0.7176803150295187,0.03753161793187671,0.1750865851214845
-0.685,0.7220252026401601,0.03887118545019208,0.17812249385964118
-0.6799999999999999,0.7263107468628829,0.0402478736733884,0.18116658179152623
-0.675,0.7305379440420624,0.04166254523196255,0.18421863167599212
-0.67,0.734707745363206,0.04311608534645738,0.18727841807837645
-0.665,0.7388210584081216,0.04460940347095199,0.19034570727148134
-0.66,0.7428787501976754,0.04614343377621964,0.1934202575760258
-0.655,0.7468816482045977,0.04771913586399588,0.19650181912044373
-0.65,0.7508305426085279,0.049337496774241985,0.19959013409996107
-0.645,0.7547261880217266,0.05099953066061422,0.2026849367683512
-0.64,0.7585693047291783,0.05270628088269101,0.2057859534721541
-0.635,0.7623605807105287,0.054458820607423956,0.20889290281981118
-0.63,0.7661006723293085,0.05625825447518584,0.2120054955843409
-0.625,0.7697902062695474,0.05810571944536219,0.21512343493011205
-0.6199999999999999,0.7734297801484803,0.06000238617761344,0.21824641631555125
-0.615,0.7770199641049989,0.06194946033366241,0.22137412767634848
-0.6099999999999999,0.7805613012595033,0.0639481844596396,0.22450624934924343
-0.605,0.7840543090284035,0.06599983901382671,0.22764245421410795
