delta,omega_g,omega_r,n
65.0,3.623238646857642,16.023688508044135,0.030166531967392333
66.0,3.6482243410191644,16.14327946434808,0.030172649587853286
67.0,3.673354162364113,16.261964575754767,0.03019939762922125
68.0,3.69861805634816,16.379762251232076,0.03024603587981837
69.0,3.7240077819751267,16.496690143235977,0.030311874533635416
70.0,3.7495146332251803,16.612765443843056,0.0303962697265322
71.0,3.7751298240252646,16.728005098757116,0.03049861950518541
72.0,3.8008445518345417,16.84242528596365,0.030618360183231084
73.0,3.826650947225837,16.956041730276805,0.030754963043377354
74.0,3.8525404710259115,17.068870567746195,0.030907931349513564
75.0,3.87850566213341,17.180926111232434,0.031076797637315526
76.0,3.90453867883609,17.292223102660053,0.03126112125476191
77.0,3.93063204770499,17.402775889921394,0.03146048612776549
78.0,3.9567784726819717,17.512598525960502,0.03167449872925871
79.0,3.982970587421502,17.621703938569993,0.03190278623008461
80.0,4.009201718418455,17.73010621996984,0.032144994816504256
81.0,4.0354653742093,17.8378172874463,0.03240078815736856
82.0,4.061754770967908,17.944849921798752,0.03266984600568264
83.0,4.088063656938125,18.051216343649717,0.03295186292430018
84.0,4.114385936787473,18.15692834118939,0.03324654712232356
85.0,4.140716011647179,18.26199745839479,0.0335536193934848
86.0,4.167047382991121,18.3664351353303,0.03387281214527273
87.0,4.193375286421196,18.470252189754067,0.03420386851347376
88.0,4.2196941718753616,18.573459399441923,0.03454654155177193
89.0,4.2459986775390455,18.676067244817578,0.034900593491153833
90.0,4.272284034257184,18.778085928183675,0.035265795062530025
91.0,4.298546096625317,18.87952525264754,0.03564192487766832
92.0,4.3247785837407555,18.98039526616659,0.03602876886186524
93.0,4.350978909365995,19.080705168164307,0.036426119735450395
94.0,4.377141811049991,19.180464317249513,0.03683377653944742
95.0,4.403263152218062,19.279681809877335,0.03725154420026465
96.0,4.429339670536769,19.378366333061088,0.03767923313249017
97.0,4.455366721546001,19.47652669829223,0.03811665887447066
98.0,4.481340966796292,19.574171220386468,0.03856364175493893
99.0,4.507258481335731,19.671308193353134,0.039020006587110516
100.0,4.533117541000616,19.767945500261984,0.03948558238955275
101.0,4.558913098851483,19.864091202619242,0.039960202129866035
102.0,4.584642735099232,19.95975288674229,0.0404437024896785
103.0,4.610303501957514,20.054938041682128,0.04093592365017692
104.0,4.6358918703624346,20.14965411787294,0.04143670909525033
105.0,4.661406545127842,20.243908111102044,0.04194590543082002
106.0,4.68684342991368,20.337707222993163,0.04246336221996959
107.0,4.712201042173926,20.431058178779487,0.04298893183139875
108.0,4.737476740017762,20.52396769545055,0.04352246930089739
109.0,4.762668237310137,20.61644252487274,0.04406383220397475
110.0,4.787772174638274,20.70848892757084,0.044612880539756816
111.0,4.812787396400558,20.800113196037138,0.04516947662408522
112.0,4.837711466028331,20.89132156973811,0.04573348499169571
113.0,4.862543897599546,20.982120026455526,0.0463047723061144
114.0,4.887280719980364,21.072514411764992,0.04688320727809677
115.0,4.911921013510423,21.162510630862023,0.04746866058921532
116.0,4.936463448742571,21.252114251583542,0.04806100482349238
117.0,4.960905682192099,21.341330780877303,0.048660114403067146
118.0,4.985247140448048,21.43016554023423,0.04926586552964893
119.0,5.009484785690257,21.518624100854943,0.049878136131047815
120.0,5.033618797679391,21.60671150604225,0.05049680581214178
121.0,5.057646419083913,21.69443289233072,0.05112175580816817
122.0,5.081566872308217,21.781793304340376,0.051752868943586855
123.0,5.105378414584229,21.86879761315295,0.05239002959409214
124.0,5.129080266390784,21.95545054307559,0.053033123648995255
125.0,5.1526730804036465,22.04175668928901,0.05368203847954845
126.0,5.176152234557905,22.127720971486855,0.054336662908107
127.0,5.199518216421985,22.213347667433336,0.05499688717955746
128.0,5.222771525882898,22.298641273135473,0.05566260293513097
129.0,5.245908941297593,22.383606141527768,0.05633370318800035
130.0,5.268929138128268,22.468246816624536,0.05701008229927547
131.0,5.291832586800157,22.55256711092179,0.05769163595867582
132.0,5.314619253113924,22.6365710683553,0.0583782611631399
133.0,5.337288110497143,22.72026273129291,0.05906985619759964
134.0,5.359835003001189,22.803646577090596,0.05976632061871064
135.0,5.382264179116804,22.886725646265397,0.06046755523721674
136.0,5.404570904586023,22.969504569853683,0.06117346210234659
137.0,5.426755068978898,23.051986673506246,0.06188394448674122
138.0,5.448819236446792,23.134175313110006,0.06259890687235051
139.0,5.470759704636971,23.21607455450673,0.06331825493640955
140.0,5.4925770313730835,23.297687635235786,0.06404189553957816
141.0,5.514268990467191,23.379018503399568,0.06476973671168122
142.0,5.535837932496586,23.460069963083086,0.0655016876411218
143.0,5.557279688630024,23.540845791957864,0.06623765866176161
144.0,5.578598757990095,23.621348638721344,0.06697756124349995
145.0,5.599789699765381,23.701582601326727,0.06772130798034869
146.0,5.620855627628392,23.781550054753257,0.06846881257858803
147.0,5.641793805795277,23.861254638296717,0.06921998984869762
148.0,5.662604532939297,23.94069915171993,0.06997475569362563
149.0,5.683288721603923,24.019886799648944,0.07073302709916085
